epoch,step,val_loss
0,28,2.310760974884033
1,57,2.1126649379730225
2,86,1.9286948442459106
3,115,1.7581268548965454
4,144,1.600301742553711
5,173,1.4554128646850586
6,202,1.3214584589004517
7,231,1.199621319770813
8,260,1.0863776206970215
9,289,0.9834775328636169
10,318,0.8884592056274414
11,347,0.8028917908668518
12,376,0.7237759232521057
13,405,0.6534790992736816
14,434,0.5888814926147461
15,463,0.5301340222358704
16,492,0.4771905839443207
17,521,0.42962145805358887
18,550,0.38645097613334656
19,579,0.34764400124549866
