epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,0.044273365288972855,
0,71,,,0.02213684283196926
0,71,0.11872987449169159,,
1,99,,0.012248879298567772,
1,143,,,0.00392279913648963
1,143,0.011115525849163532,,
2,149,,0.0032851658761501312,
2,199,,0.0007893088040873408,
2,215,,,0.0005857147625647485
2,215,0.0016262840945273638,,
3,249,,0.00036530583747662604,
3,287,,,0.0002455541689414531
3,287,0.00036947292392142117,,
4,299,,0.00030087254708632827,
4,349,,0.00014417963393498212,
4,359,,,0.00013384621706791222
4,359,0.00017583268345333636,,
5,399,,8.658038132125512e-05,
5,431,,,7.467596878996119e-05
5,431,9.394766675541177e-05,,
6,449,,6.921091699041426e-05,
6,499,,5.818910722155124e-05,
6,503,,,5.452581535791978e-05
6,503,6.121317710494623e-05,,
7,549,,3.232788003515452e-05,
7,575,,,4.422083293320611e-05
7,575,4.6357592509593815e-05,,
8,599,,5.461972614284605e-05,
8,647,,,3.721817483892664e-05
8,647,3.769755130633712e-05,,
9,649,,3.4190641599707305e-05,
9,699,,3.4412350942147896e-05,
9,719,,,3.121141708106734e-05
9,719,3.1846655474510044e-05,,
10,749,,2.4764469344518147e-05,
10,791,,,2.6805801098817028e-05
10,791,2.7139127269038e-05,,
11,799,,2.228437915618997e-05,
11,849,,2.809201214404311e-05,
11,863,,,2.3253931431099772e-05
11,863,2.3359812985290773e-05,,
12,899,,3.071959872613661e-05,
12,935,,,2.0371480786707252e-05
12,935,2.047293855866883e-05,,
13,949,,2.113141817972064e-05,
13,999,,1.2714523109025322e-05,
13,1007,,,1.829916800488718e-05
13,1007,1.8214126612292603e-05,,
14,1049,,1.5008243281044997e-05,
14,1079,,,1.6847388906171545e-05
14,1079,1.6335270629497245e-05,,
15,1099,,1.2331428479228634e-05,
15,1149,,1.4391518561751582e-05,
15,1151,,,1.490870909037767e-05
15,1151,1.5039604477351531e-05,,
16,1199,,1.1268957678112201e-05,
16,1223,,,1.3651986591867171e-05
16,1223,1.358379449811764e-05,,
17,1249,,1.3426339137367904e-05,
17,1295,,,1.2496245290094521e-05
17,1295,1.2343924026936293e-05,,
18,1299,,1.236062053067144e-05,
18,1349,,1.0046284842246678e-05,
18,1367,,,1.1449134035501629e-05
18,1367,1.126238566939719e-05,,
19,1399,,1.2465884537959937e-05,
19,1439,,,1.054034146363847e-05
19,1439,1.0308402124792337e-05,,
